Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y
329842,"2,372.30","3,179.00","2,943.00","3,010.70","4,022.70","3,290.00","4,146.00",s,"3,898.00","3,809.70",s,"3,934.30",29614.4992,34284.562
329843,"2,311.70","3,062.30","2,692.30","2,830.00","3,529.30","2,974.70","3,639.00","3,649.00","3,764.70","3,476.30","3,862.70","3,670.00",29602.8802,34287.5892
329844,410.1,586.9,525.4,547,664.6,632.9,680.4,632,722.4,716.7,783.1,737.7,29522.8535,34272.9938
329857,551.6,734.2,661.5,686.5,"1,024.50",801,"1,034.60","1,013.30",896.9,909.7,834,857.5,29357.7339,34377.097
329863,s,s,s,s,s,s,s,s,s,s,s,s,29328.7978,34272.4712
329865,881.3,"1,177.00","1,049.00","1,094.70","1,731.30","1,322.00","1,495.30","1,554.30","1,421.70","1,417.30","1,377.00","1,374.30",29328.7978,34272.4712
329866,935.7,"1,239.00","1,030.70","1,116.30","1,626.30","1,283.00","1,731.30","1,663.00","1,349.70","1,434.70","1,344.70","1,366.70",29312.036,34274.7868
329867,717,682,s,508.7,896.7,657.3,s,s,978.3,718.3,945,600.8,29312.036,34274.7868
329868,s,s,s,s,s,s,s,s,s,s,s,s,29289.1903,34273.6919
329869,s,s,s,s,s,s,s,s,s,s,s,s,29283.8212,34283.2615
329870,s,s,s,s,s,s,s,s,s,s,s,s,29300.8893,34333.8803
329871,s,s,s,s,s,s,s,s,s,s,s,s,29277.6943,34284.0788
329873,s,s,s,s,s,s,s,s,s,s,s,s,29270.6692,34276.1369
329874,s,s,s,s,s,s,s,s,s,s,s,s,29287.7889,34335.5129
329875,s,s,s,s,s,s,s,s,s,s,s,s,29265.6516,34285.4265
329876,"1,242.70","1,515.70",s,938.3,837.7,"1,076.30","1,158.30","1,292.70","1,087.70","1,133.70","1,131.00",972.3,29254.0828,34357.619
329877,s,s,s,s,s,s,s,s,s,s,s,s,29259.598,34286.1864
329878,906.5,985.5,995.8,974.3,"1,222.50","1,027.50","1,659.30","1,478.30","1,422.80","1,384.50","1,314.80",546.6,29238.805,34356.7216
329879,s,s,821,s,"1,162.00",s,s,s,s,"1,341.70",s,606.3,29253.5559,34286.8742
329880,"1,280.50","1,475.30","1,550.60","1,410.50","1,120.40","1,775.80","1,983.00","1,210.30","1,587.80","1,217.40","2,133.00","1,611.80",29230.6278,34354.7911
329881,s,s,s,s,914.3,s,s,s,s,s,s,s,29247.9814,34287.5378
329883,810,961.3,911,921,"1,289.00","1,033.50","1,016.80",823,704.8,732.8,821.8,764.5,29208.7596,34354.9554
329885,921.8,"1,030.80",996,996.5,"1,779.50","1,298.50","1,791.30","1,704.80","1,557.80","1,553.50","1,733.00","1,616.00",29193.5742,34352.4472
329886,s,-,s,s,s,s,s,s,s,s,s,s,29215.0568,34290.7054
329887,s,s,s,s,s,s,s,s,s,s,s,s,29210.936,34291.871
329890,s,s,s,s,s,s,s,s,s,s,s,s,29198.181,34294.1563
329892,s,s,s,s,s,s,s,s,s,s,s,s,29189.545,34288.4836
329894,s,s,s,s,s,s,s,s,s,s,s,s,29185.4318,34292.9646
329898,835,827.6,597.1,663.8,"1,192.80",868.5,"1,740.80","1,439.70","1,447.70","1,375.00","1,529.30","1,428.20",29116.3613,34339.964
329899,s,866.4,865.6,"1,179.40",s,689.6,611.5,565.8,675.6,736,668.2,688,29097.8369,34333.0892
329902,"1,129.30","1,293.70",903,"1,080.30","1,762.00","1,329.30","1,510.70","1,566.70","1,499.30","1,460.00","1,713.00","1,583.80",29024.33,34338.5171
329924,"1,338.80","1,699.50","1,962.00","1,800.80","1,948.80","1,753.70","1,760.20","1,967.00","2,269.00","2,061.20","1,764.00","1,881.00",30099.9336,34002.4414
329928,441.9,575.2,423.3,502,710.4,535.1,477.8,588.4,585.3,580.5,691,654.3,30137.6078,33727.6833
329929,436.8,522.7,370.2,455,635.1,496.5,514,566.3,512.4,541.2,617.3,569.4,30097.9827,33764.2006
329949,451.9,565.1,450.1,520.5,727.4,586.3,657.8,733.9,701.7,666.4,730,694.2,30054.001,33830.4807
329950,s,s,s,s,s,s,s,s,s,s,s,s,30097.8369,33822.1108
329951,561.7,796.9,507.1,641.2,"1,059.30",795.4,"1,005.20",890.6,876,945.9,693.4,486.9,30133.463,33853.2495
329974,375,587.1,485.1,509.6,807.9,622,729.7,719.3,734.9,722.3,730.1,683.2,29315.6052,34384.3423
329976,632.4,890.4,789.8,826.9,"1,326.30","1,002.10","1,144.60","1,187.00","1,183.80","1,136.60","1,156.80","1,126.90",29616.2026,34470.1527
329977,577.6,757.3,665.9,697.4,886.9,742.1,850,868.2,880,832.4,903,851.1,29678.5644,34485.5003
329980,284.5,389.6,365.4,382.5,600.6,453.8,464.7,501,460.4,469.1,456.7,458.2,29652.7447,34523.593
329981,257.4,402.3,367.9,362.1,562.7,468.1,549.1,560,460.3,494.7,475.7,478.5,29673.8051,34521.2956
338711,"2,331.70","2,487.00",s,"1,856.30","1,797.30","1,623.00","3,564.70","2,862.30","2,481.70","2,406.00","2,198.70","2,161.70",31308.524,32464.8181
338713,292.3,312,"1,052.00",604.3,651.3,539.3,651,656.7,636.7,616.3,397,558,31305.304,32470.6924
338720,s,s,s,s,s,s,s,s,s,s,s,s,31219.9913,32586.2546
338721,s,s,s,s,s,s,s,s,s,s,s,s,31217.6143,32591.6158
338724,218.3,243,204.8,231.5,287.3,238.8,317.3,306.8,287.5,283,270.3,272.3,31205.401,32607.545
338732,s,s,s,s,s,s,s,s,s,s,s,s,31138.4551,32696.5692
338733,s,s,s,s,s,s,s,s,s,s,s,s,31133.6828,32700.4563
338734,s,s,s,s,-,-,-,-,-,-,-,-,31131.9356,32705.8422
338763,s,s,s,s,s,s,s,s,s,s,s,s,30956.1981,32939.8706
338764,s,s,s,s,s,s,s,s,s,s,s,s,30952.5483,32945.9028
338767,s,s,s,s,s,s,s,s,s,s,801.7,s,30946.545,32954.8915
338769,s,s,s,s,s,s,s,s,s,s,s,s,30943.3566,32959.1836
338770,s,s,s,s,s,s,s,s,s,s,s,s,30940.0683,32965.4819
338772,s,s,s,s,s,s,s,s,s,s,s,s,30924.7196,32979.8265
338806,s,s,s,s,s,s,s,s,s,s,s,s,30983.8152,32997.6467
338807,s,s,s,s,s,s,s,s,s,s,s,s,30969.8065,33010.0061
339098,443.2,551.5,487.6,596.4,722.6,605.9,807.1,778.6,735.4,696.2,701.3,729,31995.5131,32438.6672
347532,s,s,s,s,s,s,s,s,s,s,s,s,32155.0795,34905.9056
347537,s,s,s,s,s,s,s,s,s,s,s,s,32179.1424,34914.8777
347542,s,s,s,s,s,s,s,s,s,s,s,s,32207.2774,34975.1867
347543,s,s,s,s,s,s,s,s,s,s,s,s,32207.6885,34925.6537
347545,s,s,s,s,s,s,s,s,s,s,s,s,32222.1817,34930.4504
347547,s,s,s,s,s,s,s,s,s,s,s,s,32238.8739,34936.1625
347548,s,s,s,s,s,s,s,s,s,s,s,s,32207.2774,34975.1867
347549,s,s,s,s,s,s,s,s,s,s,s,s,32247.1072,34939.0114
347550,s,s,s,s,s,s,s,s,s,s,s,s,32207.2774,34975.1867
347553,s,s,s,s,s,s,s,s,s,s,s,s,32258.8117,34942.8667
347554,291.7,352.7,348.5,344.8,395.4,391.3,353,400.7,393.8,359.4,522.1,387.6,32197.3486,35041.4832
347555,s,s,s,s,s,s,s,s,s,s,s,s,32264.7194,34944.7518
